[2026-02-12T07:24:47.768+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-02-12T07:24:47.773+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: count_1_to_100_every_10_minutes.count_numbers scheduled__2026-02-12T07:10:00+00:00 [queued]>
[2026-02-12T07:24:47.775+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: count_1_to_100_every_10_minutes.count_numbers scheduled__2026-02-12T07:10:00+00:00 [queued]>
[2026-02-12T07:24:47.776+0000] {taskinstance.py:2867} INFO - Starting attempt 2 of 1
[2026-02-12T07:24:47.790+0000] {taskinstance.py:2890} INFO - Executing <Task(PythonOperator): count_numbers> on 2026-02-12 07:10:00+00:00
[2026-02-12T07:24:47.795+0000] {standard_task_runner.py:72} INFO - Started process 225114 to run task
[2026-02-12T07:24:47.797+0000] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'count_1_to_100_every_10_minutes', 'count_numbers', 'scheduled__2026-02-12T07:10:00+00:00', '--job-id', '15', '--raw', '--subdir', 'DAGS_FOLDER/count_1_to_100.py', '--cfg-path', '/tmp/tmpbzjris3f']
[2026-02-12T07:24:47.797+0000] {standard_task_runner.py:105} INFO - Job 15: Subtask count_numbers
[2026-02-12T07:24:47.904+0000] {task_command.py:467} INFO - Running <TaskInstance: count_1_to_100_every_10_minutes.count_numbers scheduled__2026-02-12T07:10:00+00:00 [running]> on host varmeta
[2026-02-12T07:24:47.933+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='count_1_to_100_every_10_minutes' AIRFLOW_CTX_TASK_ID='count_numbers' AIRFLOW_CTX_EXECUTION_DATE='2026-02-12T07:10:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-12T07:10:00+00:00'
[2026-02-12T07:24:47.934+0000] {logging_mixin.py:190} INFO - Task instance is in running state
[2026-02-12T07:24:47.934+0000] {logging_mixin.py:190} INFO -  Previous state of the Task instance: queued
[2026-02-12T07:24:47.934+0000] {logging_mixin.py:190} INFO - Current task name:count_numbers state:running start_date:2026-02-12 07:24:47.773422+00:00
[2026-02-12T07:24:47.934+0000] {logging_mixin.py:190} INFO - Dag name:count_1_to_100_every_10_minutes and current dag run status:running
[2026-02-12T07:24:47.934+0000] {taskinstance.py:732} INFO - ::endgroup::
[2026-02-12T07:24:47.934+0000] {logging_mixin.py:190} INFO - Counting: 1
[2026-02-12T07:24:48.934+0000] {logging_mixin.py:190} INFO - Counting: 2
[2026-02-12T07:24:49.935+0000] {logging_mixin.py:190} INFO - Counting: 3
[2026-02-12T07:24:50.935+0000] {logging_mixin.py:190} INFO - Counting: 4
[2026-02-12T07:24:51.935+0000] {logging_mixin.py:190} INFO - Counting: 5
[2026-02-12T07:24:52.936+0000] {logging_mixin.py:190} INFO - Counting: 6
[2026-02-12T07:24:53.936+0000] {logging_mixin.py:190} INFO - Counting: 7
[2026-02-12T07:24:54.936+0000] {logging_mixin.py:190} INFO - Counting: 8
[2026-02-12T07:24:55.937+0000] {logging_mixin.py:190} INFO - Counting: 9
[2026-02-12T07:24:56.937+0000] {logging_mixin.py:190} INFO - Counting: 10
[2026-02-12T07:24:57.937+0000] {logging_mixin.py:190} INFO - Counting: 11
[2026-02-12T07:24:58.938+0000] {logging_mixin.py:190} INFO - Counting: 12
[2026-02-12T07:24:59.938+0000] {logging_mixin.py:190} INFO - Counting: 13
[2026-02-12T07:25:00.938+0000] {logging_mixin.py:190} INFO - Counting: 14
[2026-02-12T07:25:01.939+0000] {logging_mixin.py:190} INFO - Counting: 15
[2026-02-12T07:25:02.939+0000] {logging_mixin.py:190} INFO - Counting: 16
[2026-02-12T07:25:03.939+0000] {logging_mixin.py:190} INFO - Counting: 17
[2026-02-12T07:25:04.940+0000] {logging_mixin.py:190} INFO - Counting: 18
[2026-02-12T07:25:05.940+0000] {logging_mixin.py:190} INFO - Counting: 19
[2026-02-12T07:25:06.941+0000] {logging_mixin.py:190} INFO - Counting: 20
[2026-02-12T07:25:07.941+0000] {logging_mixin.py:190} INFO - Counting: 21
[2026-02-12T07:25:08.942+0000] {logging_mixin.py:190} INFO - Counting: 22
[2026-02-12T07:25:09.942+0000] {logging_mixin.py:190} INFO - Counting: 23
[2026-02-12T07:25:10.942+0000] {logging_mixin.py:190} INFO - Counting: 24
[2026-02-12T07:25:11.943+0000] {logging_mixin.py:190} INFO - Counting: 25
[2026-02-12T07:25:12.943+0000] {logging_mixin.py:190} INFO - Counting: 26
[2026-02-12T07:25:13.943+0000] {logging_mixin.py:190} INFO - Counting: 27
[2026-02-12T07:25:14.944+0000] {logging_mixin.py:190} INFO - Counting: 28
[2026-02-12T07:25:15.944+0000] {logging_mixin.py:190} INFO - Counting: 29
[2026-02-12T07:25:16.944+0000] {logging_mixin.py:190} INFO - Counting: 30
[2026-02-12T07:25:17.945+0000] {logging_mixin.py:190} INFO - Counting: 31
[2026-02-12T07:25:18.945+0000] {logging_mixin.py:190} INFO - Counting: 32
[2026-02-12T07:25:19.945+0000] {logging_mixin.py:190} INFO - Counting: 33
[2026-02-12T07:25:20.946+0000] {logging_mixin.py:190} INFO - Counting: 34
